Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
Super Cub 29A-870AB,13.800.000₫,Honda,Cub,29AB-87021,2022,50cc,Ghi trắng,Còn hàng,,"Super Cub, màu ghi trắng, dung tích 50cc, xe đẹp xuất sắc, không một lỗi nhỏ (xe không cần sử dụng bằng lái) phù hợp với học sinh, sinh viên. Xe hình thức đẹp, máy zin, chạy êm."
Wave A 89E-774JH,13.000.000₫,Honda,Wave A,89E-774JH,2021 (đời 2018),110cc,Xanh đen,Còn hàng,,"Honda Wave A, màu xanh bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29X-102CH,11.800.000₫,Honda,Airblade,29X-102CH,2012 (đời 2008),110cc,Đỏ đen,Còn hàng,,"Honda Airblade, form nhỏ, màu đỏ đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH CBS 29F-566HD,82.500.000₫,Honda,SH,29F-566HD,2021,150cc,Trắng đen,Còn hàng,,"Honda SH CBS, màu trắng đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
SH Mode 29E-895FG,55.800.000₫,Honda,SH Mode,29E-895FG,2022,125cc,Đỏ đen,Còn hàng,,"Honda SH Mode, màu đỏ đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
SH 29N-198FJ,40.500.000₫,Honda,SH,,,,,Hết hàng,,"Honda SH, màu đen, dung tích 125cc, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 29H-587DJ,21.800.000₫,Honda,Vision,29H-587DJ,2015,110cc,Đỏ đen,Còn hàng,,"Honda Vision, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Vision 29K-947CF,34.500.000₫,Honda,Vision,29K-947CF,2021,110cc,Xanh đen,Còn hàng,,"Honda Vision, khóa smartkey, màu xanh đen đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave A 29N-494GH,17.800.000₫,Honda,Wave A,,,,,Hết hàng,,"Honda Wave A, màu cam bạc đen, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH Mode 29D-769AE,35.800.000₫,Honda,SH mode,,,,,Hết hàng,,"Honda SH Mode, màu trắng nâu, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
